epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,356.351,1.87129,3.7931,1.71965,0.9347,0.0679,0.09355,0.04711,1.97691,3.84862,1.77255,0.000248794,0.000248794,0.000248794
2,684.948,1.89634,2.83907,1.72392,0.36033,0.19803,0.16892,0.08776,2.08427,2.85848,1.91823,0.000495126,0.000495126,0.000495126
3,992.229,1.90695,2.52617,1.76174,0.31218,0.21438,0.15306,0.06712,2.13563,3.05828,2.08175,0.000731307,0.000731307,0.000731307
4,1294.41,1.89819,2.45148,1.73387,0.24239,0.2602,0.18614,0.09027,2.10397,2.75992,2.03218,0.000723321,0.000723321,0.000723321
5,2413.97,1.89511,2.32796,1.72255,0.39779,0.23581,0.21088,0.11094,2.08422,2.70577,1.93353,0.000708095,0.000708095,0.000708095
6,2782.13,1.8664,2.29759,1.71843,0.47253,0.21621,0.22521,0.11208,2.05739,2.60604,1.92331,0.000692869,0.000692869,0.000692869
7,3136.88,1.82174,2.21478,1.68725,0.30313,0.25595,0.24413,0.13908,2.00717,2.46645,1.85489,0.000677643,0.000677643,0.000677643
8,3500.54,1.84107,2.16057,1.65914,0.44922,0.29535,0.24623,0.1307,2.06346,2.46946,1.91407,0.000662417,0.000662417,0.000662417
9,3840.19,1.81638,2.09458,1.65967,0.28413,0.26814,0.2334,0.12594,1.97498,2.56756,1.86764,0.00064719,0.00064719,0.00064719
10,4196.53,1.80709,2.11073,1.6686,0.27639,0.29102,0.25079,0.13781,2.00136,2.52025,1.84858,0.000631964,0.000631964,0.000631964
11,4546.13,1.81244,2.05304,1.66388,0.43248,0.25713,0.24426,0.1329,2.02179,2.40976,1.90113,0.000616738,0.000616738,0.000616738
